"id", "closed_at", "created_at", "state", "url"
16860, 2019-05-09 18:28:35, 2019-04-04 15:55:25, closed, https://api.github.com/repos/angular/angular.js/issues/16860
16778, 2018-12-06 09:07:56, 2018-11-30 10:39:36, closed, https://api.github.com/repos/angular/angular.js/issues/16778
16766, 2018-11-20 20:38:36, 2018-11-19 21:04:03, closed, https://api.github.com/repos/angular/angular.js/issues/16766
16761, 2018-12-05 07:36:12, 2018-11-16 12:49:20, closed, https://api.github.com/repos/angular/angular.js/issues/16761
16734, 2018-11-20 14:10:22, 2018-10-16 08:37:49, closed, https://api.github.com/repos/angular/angular.js/issues/16734
16702, 2018-10-15 11:14:38, 2018-09-20 14:53:44, closed, https://api.github.com/repos/angular/angular.js/issues/16702
16664, 2018-09-06 13:53:34, 2018-08-16 04:55:00, closed, https://api.github.com/repos/angular/angular.js/issues/16664
16661, 2018-08-15 08:43:37, 2018-08-10 00:16:06, closed, https://api.github.com/repos/angular/angular.js/issues/16661
16653, 2018-08-06 10:47:44, 2018-08-02 10:12:42, closed, https://api.github.com/repos/angular/angular.js/issues/16653
16641, 2018-07-23 11:22:53, 2018-07-22 11:52:36, closed, https://api.github.com/repos/angular/angular.js/issues/16641
16637, 2018-07-27 17:48:49, 2018-07-20 10:43:27, closed, https://api.github.com/repos/angular/angular.js/issues/16637
16632, 2018-07-30 20:39:33, 2018-07-18 05:23:54, closed, https://api.github.com/repos/angular/angular.js/issues/16632
16616, 2018-10-15 20:24:18, 2018-06-27 16:09:59, closed, https://api.github.com/repos/angular/angular.js/issues/16616
16608, 2018-06-22 20:56:12, 2018-06-22 12:08:58, closed, https://api.github.com/repos/angular/angular.js/issues/16608
16593, 2018-07-04 12:49:41, 2018-06-08 07:44:56, closed, https://api.github.com/repos/angular/angular.js/issues/16593
16583, 2018-05-31 09:32:11, 2018-05-29 09:29:08, closed, https://api.github.com/repos/angular/angular.js/issues/16583
16537, 2018-04-27 15:55:34, 2018-04-24 07:56:04, closed, https://api.github.com/repos/angular/angular.js/issues/16537
16519, None, 2018-04-04 12:34:59, open, https://api.github.com/repos/angular/angular.js/issues/16519
16486, 2018-05-22 11:10:44, 2018-03-12 16:30:20, closed, https://api.github.com/repos/angular/angular.js/issues/16486
16469, None, 2018-02-24 17:22:04, open, https://api.github.com/repos/angular/angular.js/issues/16469
16463, 2020-06-11 10:42:34, 2018-02-20 13:29:28, closed, https://api.github.com/repos/angular/angular.js/issues/16463
16448, 2018-02-11 19:25:07, 2018-02-11 14:11:00, closed, https://api.github.com/repos/angular/angular.js/issues/16448
16424, 2018-03-13 19:23:56, 2018-01-29 20:22:56, closed, https://api.github.com/repos/angular/angular.js/issues/16424
16379, 2017-12-29 13:06:46, 2017-12-20 11:27:58, closed, https://api.github.com/repos/angular/angular.js/issues/16379
16359, 2017-12-11 11:21:31, 2017-12-06 10:43:20, closed, https://api.github.com/repos/angular/angular.js/issues/16359
16342, 2018-04-06 09:54:54, 2017-11-23 16:25:19, closed, https://api.github.com/repos/angular/angular.js/issues/16342
16312, 2017-11-03 11:03:20, 2017-10-31 21:45:55, closed, https://api.github.com/repos/angular/angular.js/issues/16312
16278, 2017-11-17 10:55:58, 2017-10-15 17:32:01, closed, https://api.github.com/repos/angular/angular.js/issues/16278
16225, 2018-02-05 11:22:45, 2017-09-13 23:31:56, closed, https://api.github.com/repos/angular/angular.js/issues/16225
16215, 2017-09-12 07:35:13, 2017-09-05 14:01:45, closed, https://api.github.com/repos/angular/angular.js/issues/16215
16211, 2017-09-06 11:44:20, 2017-09-01 21:52:21, closed, https://api.github.com/repos/angular/angular.js/issues/16211
